[     0.0s] === 20260616_044045_siglip512_loto_recap ===
[     0.0s] config: {"name": "siglip512_loto_recap", "backbone": "vit_so400m_patch16_siglip_512.v2_webli", "img_size": 0, "rank": 16, "alpha": 32, "attn_only": false, "epochs": 3, "batch": 8, "accum": 2, "lr": 0.0002, "weight_decay": 0.01, "warmup_steps": 1000, "ema_decay": 0.9995, "seed": 42, "subset": 0, "skip_infer": true, "recapture_p": 0.5, "rc_min": 0.2, "rc_max": 0.6, "loto_types": "MAURITIUS/ID,GUINEA/DL", "num_workers": 2, "out": "subs/siglip512_dora.csv"}
[     6.4s] backbone=vit_so400m_patch16_siglip_512.v2_webli img=512 mean=(0.5, 0.5, 0.5) | DoRA layers=108 | trainable=7.98M
[     6.4s] recapture aug ON: p=0.5 strength U[0.2,0.6]
[     9.4s] type-LOO: held-out types = MAURITIUS/ID,GUINEA/DL
[ 17020.5s]   e2 step 6300/7986 loss=0.0199 lr=2.74e-05
[ 17158.1s]   e2 step 6350/7986 loss=0.0198 lr=2.59e-05
[ 17295.1s]   e2 step 6400/7986 loss=0.0197 lr=2.44e-05
[ 17432.9s]   e2 step 6450/7986 loss=0.0198 lr=2.29e-05
[ 17571.0s]   e2 step 6500/7986 loss=0.0193 lr=2.15e-05
[ 17709.2s]   e2 step 6550/7986 loss=0.0188 lr=2.01e-05
[ 17847.5s]   e2 step 6600/7986 loss=0.0187 lr=1.88e-05
[ 17985.1s]   e2 step 6650/7986 loss=0.0188 lr=1.75e-05
[ 18122.8s]   e2 step 6700/7986 loss=0.0190 lr=1.63e-05
[ 18260.6s]   e2 step 6750/7986 loss=0.0187 lr=1.51e-05
[ 18397.8s]   e2 step 6800/7986 loss=0.0184 lr=1.39e-05
[ 18535.0s]   e2 step 6850/7986 loss=0.0184 lr=1.28e-05
[ 18671.3s]   e2 step 6900/7986 loss=0.0183 lr=1.17e-05
[ 18808.4s]   e2 step 6950/7986 loss=0.0184 lr=1.07e-05
[ 18945.3s]   e2 step 7000/7986 loss=0.0184 lr=9.67e-06
[ 19082.2s]   e2 step 7050/7986 loss=0.0179 lr=8.73e-06
[ 19219.7s]   e2 step 7100/7986 loss=0.0180 lr=7.83e-06
[ 19357.5s]   e2 step 7150/7986 loss=0.0179 lr=6.98e-06
[ 19495.2s]   e2 step 7200/7986 loss=0.0180 lr=6.18e-06
[ 19632.2s]   e2 step 7250/7986 loss=0.0178 lr=5.43e-06
[ 19769.5s]   e2 step 7300/7986 loss=0.0177 lr=4.72e-06
[ 19906.4s]   e2 step 7350/7986 loss=0.0179 lr=4.06e-06
[ 20043.5s]   e2 step 7400/7986 loss=0.0176 lr=3.45e-06
[ 20180.4s]   e2 step 7450/7986 loss=0.0177 lr=2.89e-06
[ 20317.2s]   e2 step 7500/7986 loss=0.0175 lr=2.38e-06
[ 20454.7s]   e2 step 7550/7986 loss=0.0174 lr=1.92e-06
[ 20592.1s]   e2 step 7600/7986 loss=0.0172 lr=1.50e-06
[ 20729.4s]   e2 step 7650/7986 loss=0.0176 lr=1.14e-06
[ 20866.3s]   e2 step 7700/7986 loss=0.0174 lr=8.26e-07
[ 21003.6s]   e2 step 7750/7986 loss=0.0172 lr=5.63e-07
[ 21140.9s]   e2 step 7800/7986 loss=0.0173 lr=3.50e-07
[ 21278.0s]   e2 step 7850/7986 loss=0.0172 lr=1.87e-07
[ 21414.6s]   e2 step 7900/7986 loss=0.0171 lr=7.48e-08
[ 21551.5s]   e2 step 7950/7986 loss=0.0172 lr=1.31e-08
[ 21767.6s] metrics {"epoch": 2, "train_loss": 0.01736, "canary_freuid": 0.00113, "audet": 0.00058, "roc_auc": 0.99942, "ho_auc": 0.9167, "ho_gap": 0.7748}
[ 21770.4s] skip_infer set — done (training only)
